Date,IB_USD_TND,IB_EUR_TND,IB_GBP_TND,IB_JPY_TND,FIX_USD_Bid,FIX_USD_Ask,FIX_USD_Mid,FIX_EUR_Bid,FIX_EUR_Ask,FIX_EUR_Mid,EUR_USD,GBP_USD,USD_JPY,SPREAD_USD,SPREAD_EUR,ret_EUR_USD,ret_GBP_USD,ret_USD_JPY,ret_FIX_USD
2020-04-30,2.9002,3.1539,3.6253,27.1774,2.8963,2.8991,2.8977,3.1496,3.1528,3.1512,1.0955,1.2592,107.17,0.0024999999999999467,0.0027000000000003688,0.007513321031817413,0.01021720254665509,0.004395200417198097,-0.001861812701646537
2020-05-01,2.9002,3.1539,3.6253,27.1774,2.8963,2.8991,2.8977,3.1496,3.1528,3.1512,1.0983,1.2502,106.93,,0.0027000000000003688,0.002552649758779127,-0.007173060165426903,-0.0022419439563403643,
2020-05-04,2.893,3.1578,3.5865,27.0534,2.8889,2.8917,2.8903,3.1596,3.1627,3.16115,1.0906,1.2442,106.73,0.0026999999999999247,-0.003350000000000186,-0.007035526302339057,-0.0048107854167925845,-0.0018721338426921363,
2020-05-05,2.9039,3.1399,3.6171,27.2123,2.9055,2.9085,2.907,3.1484,3.1516,3.15,1.0838,1.2434,106.58,-0.0030999999999998806,-0.010099999999999998,-0.006254619359947283,-0.0006431902456821847,-0.0014064040572367986,0.005761318611518185
2020-05-06,2.906,3.1452,3.6062,27.3972,2.911,2.914,2.9125,3.1445,3.1477,3.1461,1.0794,1.2341,106.14,-0.00649999999999995,-0.0009000000000001229,-0.004068052947471576,-0.0075076033760993754,-0.004136899468887734,0.00189019731508
2020-05-07,2.9112,3.1401,3.6041,27.3493,2.9133,2.9163,2.9148,3.1441,3.1473,3.1457,1.0832,1.2361,106.27,-0.0036000000000000476,-0.005600000000000271,0.003514291973468142,0.001619302434639619,0.0012240479848548702,0.000789387922171203
2020-05-08,2.9033,3.1447,3.5979,27.3251,2.9058,2.9088,2.9073,3.1515,3.1547,3.1531,1.084,1.2407,106.65,-0.0040000000000000036,-0.008399999999999963,0.0007382798415811048,0.003714474555048336,0.003569419532755802,-0.0025763913875129774
2020-05-11,2.9103,3.1507,3.5849,27.1285,2.9108,2.9138,2.9123,3.1483,3.1515,3.1499,1.0806,1.2335,107.66,-0.002000000000000224,0.0007999999999999119,-0.003141460589626194,-0.005820079479414347,0.009425668215452099,0.0017183315795847864
2020-05-12,2.9108,3.1492,3.5944,27.0719,2.9073,2.9103,2.9088,3.1524,3.1556,3.154,1.0846,1.2259,107.13,0.002000000000000224,-0.0047999999999999154,0.003694812996994881,-0.006180388868462894,-0.004935062858344885,-0.0012025220050393415
2020-05-13,2.9081,3.1569,3.5716,27.1519,2.9048,2.9077,2.90625,3.1552,3.1583,3.15675,1.0816,1.2229,107.02,0.0018500000000001293,0.0001499999999996504,-0.002769829118260736,-0.0024501809056242663,-0.0010273173913075695,-0.0008770346474933355
2020-05-14,2.916,3.1485,3.5585,27.2662,2.9189,2.9219,2.9204,3.1479,3.1511,3.1495,1.0804,1.2226,107.24,-0.0043999999999999595,-0.001000000000000334,-0.0011100833702390178,-0.0002453486006993022,0.002053580484599138,0.0048570028462642245
2020-05-15,2.913,3.1467,3.557,27.2249,2.9142,2.9172,2.9157,3.151,3.1542,3.1526,1.0815,1.2104,107.02,-0.0027000000000003688,-0.005900000000000016,0.00101762347465284,-0.01002885512047888,-0.002053580484599138,-0.0016106650043958837
2020-05-18,2.9139,3.1493,3.5336,27.1621,2.9135,2.9164,2.91495,3.1507,3.1538,3.15225,1.0912,1.2189,107.33,-0.0010500000000002174,-0.002949999999999786,0.008929041696084244,0.006997929187644747,0.002892467610274174,-0.00025726119871261055
